Aurdino time, Nitrogen pressure, Line pressure, Chamber pressure, Oxidizer feeding pressure, Load cell, Heating blanket temperature, Not connected, Nozzle temperature, Piping temperature, Plume temperature, Dump valve button status, Heating button status, Ignition button status, N2 Feeding button status, Oxidizer valve button status, Ignition SW state, Valve SW state, Current SW mode, Current SW substate, Message index
2892128,0.10,-0.20,0.00,0.55,-19.43,8.16,0,19.00,12.75,20.73,0,0,0,0,0,0,0,2,0,0
2912584,0.10,-0.20,0.00,0.74,-19.43,8.16,0,19.00,12.75,20.73,0,0,0,0,0,0,0,2,0,0
2933032,0.10,-0.20,0.00,0.65,-22.15,8.16,0,19.00,12.75,20.73,0,0,0,0,0,0,0,2,0,0
2953480,0.10,-0.20,0.00,0.65,-18.07,8.16,0,19.00,12.75,20.73,0,0,0,0,0,0,0,2,0,0
2974096,0.10,-0.20,0.00,0.65,-19.43,6.70,0,18.50,12.75,19.68,0,0,0,0,0,0,0,2,0,0
2994648,0.10,-0.20,0.00,0.65,-19.43,6.70,0,18.50,12.75,19.68,0,0,0,0,0,0,0,2,0,0
3015104,0.10,-0.20,0.00,0.74,-22.15,6.70,0,18.50,12.75,19.68,0,0,0,0,0,0,0,2,0,0
3035552,0.10,-0.20,0.00,0.45,-18.07,6.70,0,18.50,12.75,19.68,0,0,0,0,0,0,0,2,0,0
3056000,0.10,-0.20,0.00,0.74,-19.43,6.70,0,18.50,12.75,19.68,0,0,0,0,0,0,0,2,0,0
3076624,0.10,-0.20,0.00,0.45,-19.43,6.70,0,18.75,13.50,19.68,0,0,0,0,0,0,0,2,0,0
3097168,0.10,-0.20,0.00,0.65,-20.79,6.70,0,18.75,13.50,19.68,0,0,0,0,0,0,0,2,0,0
3117616,0.10,-0.20,0.00,0.65,-18.07,6.70,0,18.75,13.50,19.68,0,0,0,0,0,0,0,2,0,0
3138072,0.10,-0.20,0.00,0.55,-18.07,6.70,0,18.75,13.50,19.68,0,0,0,0,0,0,0,2,0,0
